,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type,Price,Market Cap,VolumeTwentyFour,Circulating Supply,Exchanges
23,EOS,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,https://bscscan.com/token/0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,Binance,01/06/2021 16:52:40,1.03 billion,8335,320482,N/A,Common,6.23,5.88 billion,2.40 billion,944.28 million,"Binance,Upbit,Huobi Global,Bitcoin.com,Changelly PRO,OKEx,DigiFinex,Bithumb,Coinbase Pro,Gate.io,MXC,Bitinka,Nami,CoinEx,Hotbit,AscendEX (BitMax),OceanEx,LATOKEN,FINEXBOX,EXRATES"
24,PancakeSwap,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Binance,01/06/2021 16:52:50,317.09 million,374816,61862281,N/A,Common,17.45,5.53 billion,243.44 million,317.09 million,"Binance,DigiFinex,Kucoin,Bithumb Global,Gate.io,WazirX,dcoin,Bilaxy,BKEX,Bitwired"
25,Filecoin,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,https://bscscan.com/token/0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,Binance,01/06/2021 16:53:01,75.08 million,4767,500830,N/A,Common,68.58,5.15 billion,582.93 million,75.08 million,"Huobi Global,Binance,OKEx,DigiFinex,Coinbase Pro,Gate.io,Kraken,Upbit,Gemini,Kucoin"
26,TRON,,,,01/06/2021 16:53:03,99.28 billion,,,N/A,Common,0.0752,4.97 billion,1.59 billion,66.14 billion,"Huobi Global,Binance,Changelly PRO,Bitcoin.com,Upbit,OKEx,Poloniex,DigiFinex,Gate.io,Bithumb,MXC,LBank,Hotbit,Coineal,ProBit,VinDAX,TOKOK,CoinField,Nominex.io,Dex-Trade"
27,SHIBA INU,,,,01/06/2021 16:53:04,1.00 quadrillion,,,N/A,Common,0.0000085,4.74 billion,850.71 million,559.02 trillion,"Binance,Huobi Global,OKEx,Gate.io,Uniswap v2,Kucoin,DigiFinex,FTX,WazirX,Poloniex"
28,Aave,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,https://etherscan.io/token/0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,Etherium,01/06/2021 16:53:17,16.00 million,80876 ( 0.167%),850285,N/A,Common,365.99,4.68 billion,547.93 million,12.79 million,"Binance,OKEx,Huobi Global,Coinbase Pro,DigiFinex,Gate.io,Kucoin,Uniswap v2,FTX,Kraken,ProBit,Atomars,HitBTC,Bitkub,CoinEx,TOKOK,LBank,NovaDAX,ZB,BitBay"
29,Monero,,,,01/06/2021 16:53:20,17.92 million,,,N/A,Common,259.21,4.65 billion,226.32 million,17.92 million,"Binance,OKEx,Bitcoin.com,DigiFinex,Huobi Global,Kraken,Bithumb Global,Poloniex,Gate.io,Kucoin,BTC Trade UA,Unnamed.Exchange,RuDEX,TN DEX,txbit,Beaxy"
30,Dai,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,Etherium,01/06/2021 16:53:31,4.41 billion,178183 ( -0.004%),3152682,N/A,Common,1.00,4.42 billion,299.01 million,4.41 billion,"Binance,Compound,SushiSwap,Curve,Coinbase Pro,Uniswap v2,Changelly PRO,Huobi Global,Gemini,Bitstamp"
31,NEO,,,,01/06/2021 16:53:33,100.00 million,,,N/A,Common,53.32,3.85 billion,588.26 million,72.20 million,"OKEx,Binance,Upbit,Changelly PRO,Bitcoin.com,DigiFinex,Huobi Global,Gate.io,Bitfinex,Kucoin,Atomars,Dex-Trade,MXC,BuyUcoin,Float SV,Nash,Bitladon,BC Bitcoin,RightBTC,Lykke"
32,Celsius Network,,,,01/06/2021 16:53:35,695.66 million,,,N/A,Common,7.13,3.76 billion,30.97 million,527.73 million,"FTX,Liquid,OKEx,Uniswap v2,Bitfinex,Gate.io,Bittrex,Indodax,BitMart,Bilaxy"
33,OKB,0x75231f58b43240c9718dd58b4967c5114342a86c,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c,Etherium,01/06/2021 16:53:47,300.00 million,44300 ( 0.014%),95847,N/A,Common,13.34,3.60 billion,505.52 million,269.44 million,"OKEx,Gate.io,FTX,Indodax,BitMart,DragonEx,BKEX,BiKi,LBank,Hotbit"
34,Maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,https://etherscan.io/token/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,Etherium,01/06/2021 16:53:58,"991,501.05",82547 ( 0.032%),1420768,N/A,Common,"3,552.96",3.52 billion,184.87 million,"991,501.05","DigiFinex,Coinbase Pro,Binance,OKEx,Huobi Global,Uniswap v2,Bitcoin.com,FTX,SushiSwap,Kraken,Bitkub,Hotbit,Bitrue,Uniswap,MXC,Atomars,CoinJar,BitBay,CoinEx,Paribu"
35,Compound Ether,,,,01/06/2021 16:54:00,66.47 million,,,N/A,Common,51.49,3.42 billion,154.11 million,66.47 million,Compound
36,Klaytn,,,,01/06/2021 16:54:02,10.53 billion,,,N/A,Common,1.33,3.26 billion,27.01 million,2.45 billion,"OKEx,Coinone,Bithumb,Gate.io,Bittrex,Bilaxy,LBank,GDAC,MXC,ProBit"
37,Kusama,,,,01/06/2021 16:54:04,10.00 million,,,N/A,Common,359.13,3.22 billion,305.67 million,8.98 million,"Binance,OKEx,Huobi Global,Kraken,DigiFinex,Kucoin,Gate.io,Crypto.com,Bitfinex,Bittrex"
38,Cosmos,,,,01/06/2021 16:54:05,238.53 million,,,N/A,Common,13.57,3.24 billion,155.50 million,238.53 million,"Binance,OKEx,Huobi Global,Coinbase Pro,DigiFinex,Kucoin,Gate.io,Kraken,Bitcoin.com,Crypto.com"
39,Bitcoin SV,,,,01/06/2021 16:54:08,18.75 million,,,N/A,Common,172.00,3.22 billion,441.37 million,18.75 million,"Changelly PRO,Huobi Global,OKEx,DigiFinex,Upbit,Gate.io,Kucoin,Bithumb,Bithumb Global,Bittrex,Dove Wallet,Bitladon,SouthXchange,CREX24,EXRATES"
40,Compound Dai,,,,01/06/2021 16:54:09,149.91 billion,,,N/A,Common,0.02148,3.22 billion,66.41 million,149.91 billion,"Compound,Curve"
