,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type,Price,Market Cap,VolumeTwentyFour,Circulating Supply,Exchanges,CoinRankUrl
3548,Thanos,,,,22/06/2021 00:59:52,1.00 quadrillion,,,N/A,Common,0.000000000,"454,624","4,752",1.00 quadrillion,PancakeSwap,https://coinranking.com/coin/uFRdpl8lZk+thanos-thanos
3549,Reed Elsevier,,,,22/06/2021 00:59:53,10.00 million,,,N/A,Common,0.0440,"440,348","1,387",10.00 million,FINEXBOX,https://coinranking.com/coin/Sk36oxbbF+reedelsevier-relx
3550,Crypto Property,,,,22/06/2021 00:59:55,2.13 billion,,,N/A,Common,0.000203,"430,953","80,272",2.13 billion,ProBit,https://coinranking.com/coin/JDmWFyVKC+cryptoproperty-cprop
3551,Flip,0x3a1bda28adb5b0a812a7cf10a1950c920f79bcd3,https://etherscan.io/token/0x3a1bda28adb5b0a812a7cf10a1950c920f79bcd3,Etherium,22/06/2021 01:00:05,100.00 million,3862 (0.00%),15476,N/A,Common,0.00417,"417,087",181.85,100.00 million,HitBTC,https://coinranking.com/coin/a0PWd6uWZtKgL+flip-flp
3552,ASIMI,,,,22/06/2021 01:00:06,66.48 million,,,N/A,Common,0.01434,"416,108",133.03,29.01 million,Waves.Exchange,https://coinranking.com/coin/gWFdlWo81+asimi-asimi
3553,WOLK,,,,22/06/2021 01:00:08,61.18 million,,,N/A,Common,0.00678,"414,534",0,61.18 million,,https://coinranking.com/coin/PLPlUJtZAopsT+wolk-wlk
3554,YAM v2,,,,22/06/2021 01:00:10,3.73 million,,,N/A,Common,14.00,"359,250","3,034","25,667.10","SushiSwap,Bithumb Global,ProBit",https://coinranking.com/coin/eSvdQWyjr+yamv2-yamv2
3555,Lunch Money,,,,22/06/2021 01:00:11,189.00 million,,,N/A,Common,0.00223,"357,639",17.79,160.10 million,"Folgory,SouthXchange",https://coinranking.com/coin/qic2-UjYRIUR+lunchmoney-lmy
3556,Lokum Token,,,,22/06/2021 01:00:13,5.61 million,,,N/A,Common,0.0617,"346,059",0,5.61 million,,https://coinranking.com/coin/w9nTkskxz+lokumtoken-lkm
3557,IMOX,,,,22/06/2021 01:00:15,5.00 billion,,,N/A,Common,0.000063,"313,322",0,5.00 billion,,https://coinranking.com/coin/oCXSIQElQ+imox-imox
3558,Trendline50,,,,22/06/2021 01:00:16,"29,815.20",,,N/A,Common,9.88,"294,539",197.55,"29,815.20",Waves.Exchange,https://coinranking.com/coin/UPBYH80Ca+trendline50-trend
3559,X8Currency,,,,22/06/2021 01:00:18,85.24 million,,,N/A,Common,0.00341,"290,914",339.86,85.24 million,Bancor,https://coinranking.com/coin/FQPrENk2c-J-f+x8currency-x8x
3560,RMPL,0xe17f017475a709de58e976081eb916081ff4c9d5,https://etherscan.io/token/0xe17f017475a709de58e976081eb916081ff4c9d5,Etherium,22/06/2021 01:00:28,"706,101.00",1372,52105,N/A,Common,0.4061,"286,716",228.35,"706,101.00","Uniswap v2,Bithumb Global",https://coinranking.com/coin/X-zHqeRoT+rmpl-rmpl
3561,BannerCoin,,,,22/06/2021 01:00:29,100.00 million,,,N/A,Common,0.00283,"282,939","25,713",100.00 million,ProBit,https://coinranking.com/coin/9oZqTmi681QZX+bannercoin-bcoin
3562,Sandcoin,,,,22/06/2021 01:00:31,2.55 million,,,N/A,Common,0.0902,"230,008",0,2.55 million,,https://coinranking.com/coin/dmqrpgwgiu04S+sandcoin-snd
3563,MasterCoin,,,,22/06/2021 01:00:33,9.00 million,,,N/A,Common,0.02535,"228,122",0,9.00 million,,https://coinranking.com/coin/uvoeQZHqYhggv+mastercoin-msc
3564,YFOX Finance,,,,22/06/2021 01:00:36,"23,000.00",,,N/A,Common,9.83,"226,017","30,753","23,000.00","Hotbit,Bilaxy",https://coinranking.com/coin/YfZVWMKL8+yfoxfinance-yfox
3565,Sparkle Loyalty,,,,22/06/2021 01:00:38,70.00 million,,,N/A,Common,0.00310,"217,144",70.90,70.00 million,"CoinTiger,STEX",https://coinranking.com/coin/jnflXAVAvVuU+sparkleloyalty-sprkl
3566,BitBoost,0x1500205f50bf3fd976466d0662905c9ff254fc9c,https://etherscan.io/token/0x1500205f50bf3fd976466d0662905c9ff254fc9c,Etherium,22/06/2021 01:00:48,50.00 million,1280 (0.00%),8094,N/A,Common,0.00428,"213,980","6,286",50.00 million,"MERCATOX,CREX24",https://coinranking.com/coin/5egWgLHrncWV8+bitboost-bbt
3567,Litbinex Coin,,,,22/06/2021 01:00:50,9.73 billion,,,N/A,Common,0.0000214,"207,862",9.87,9.73 billion,MERCATOX,https://coinranking.com/coin/iIQ1wAMU+litbinexcoin-ltb
3568,Relex,0x4a42d2c580f83dce404acad18dab26db11a1750e,https://etherscan.io/token/0x4a42d2c580f83dce404acad18dab26db11a1750e,Etherium,22/06/2021 01:01:00,2.00 billion,1336 (0.00%),15751,N/A,Common,0.000098,"196,937","1,289",2.00 billion,Bitcratic,https://coinranking.com/coin/DiE0yBgGWRfx4+relex-rlx
3569,Raketa T8,,,,22/06/2021 01:01:02,2.38 million,,,N/A,Common,0.0794,"188,959",19.73,2.38 million,Waves.Exchange,https://coinranking.com/coin/2pMV_t-n3+raketat8-rkt8
3570,1Million Token,,,,22/06/2021 01:01:04,"995,699.23",,,N/A,Common,0.1866,"185,836",878.65,"995,698.79","VinDAX,Unnamed.Exchange,SatoExchange,resfinex",https://coinranking.com/coin/tBXVfX8W+1milliontoken-1mt
3571,Enumivo,,,,22/06/2021 01:01:06,161.15 million,,,N/A,Common,0.001120,"180,545","783,587",161.15 million,AEX,https://coinranking.com/coin/MqWDzvl1tdxHc+enumivo-enu
3572,CryptoWater,0x13ca8eb6405cfbe2eae5d00207651002083fbc9d,https://etherscan.io/token/0x13ca8eb6405cfbe2eae5d00207651002083fbc9d,Etherium,22/06/2021 01:01:17,"163,691.00",34,90,N/A,Common,1.10,"180,472",250.56,"163,691.00","VinDAX,Bololex",https://coinranking.com/coin/1APQ1i4EO+cryptowater-c2o
3573,Bitcoin 3,,,,22/06/2021 01:01:18,21.00 million,,,N/A,Common,0.00824,"172,991",182.01,21.00 million,Five Star Exchange,https://coinranking.com/coin/z6I6jkhMq+bitcoin3-btc3
3574,Treasure Financial Coin,,,,22/06/2021 01:01:19,500.00 million,,,N/A,Common,0.000329,"164,740",0.02301,500.00 million,CREX24,https://coinranking.com/coin/2Pa2xsIRtnus+treasurefinancialcoin-tfc
3575,Kozjin,,,,22/06/2021 01:01:20,300.00 million,,,N/A,Common,0.000536,"160,817","1,241",300.00 million,DigiFinex,https://coinranking.com/coin/-ADC7ogIf+kozjin-koz
3576,BitBlocks,0x9045b0eda6b6a556cf9b3d81c2db47411714f847,https://bscscan.com/token/0x9045b0eda6b6a556cf9b3d81c2db47411714f847,Binance,22/06/2021 01:01:31,265.00 million,299,8410,N/A,Common,0.00165,"148,262",159.57,90.00 million,"CREX24,STEX",https://coinranking.com/coin/kPA-wfIfS87iS+bitblocks-bbk
3577,SurfBnB,,,,22/06/2021 01:01:32,1.00 quadrillion,,,N/A,Common,0.000000000,"146,172",142.18,1.00 quadrillion,PancakeSwap,https://coinranking.com/coin/llsiE8d5fh+surfbnb-sbnb
3578,TESTA,,,,22/06/2021 01:01:34,7.78 million,,,N/A,Common,0.6798,"140,116",0,"206,101.63",,https://coinranking.com/coin/tBA06DzHCVn+testa-testa
3579,Ankorus Token,,,,22/06/2021 01:01:35,50.50 million,,,N/A,Common,0.00450,"137,257","35,235",30.50 million,Hotbit,https://coinranking.com/coin/8WB8Smj0PoE-Q+ankorustoken-ank
3580,Helpico,,,,22/06/2021 01:01:36,5.03 million,,,N/A,Common,0.02636,"132,500",81.40,5.03 million,FINEXBOX,https://coinranking.com/coin/2pORMdoP4NVz+helpico-help
3581,2kFinance,,,,22/06/2021 01:01:38,"2,000.00",,,N/A,Common,61.91,"123,824",232.16,"2,000.00",PancakeSwap,https://coinranking.com/coin/neY4C123z+2kfinance-twok
3582,AlgoVest,0x94d916873b22c9c1b53695f1c002f78537b9b3b2,https://etherscan.io/token/0x94d916873b22c9c1b53695f1c002f78537b9b3b2,Etherium,22/06/2021 01:01:48,10.00 million,205 (0.00%),2187,N/A,Common,0.2136,"119,062",0.02243,"557,359.97",Hotbit,https://coinranking.com/coin/L_vjcK55R+algovest-avs
3583,eGold,0x6025f65f6b2f93d8ed1efedc752acfd4bdbcec3e,https://etherscan.io/token/0x6025f65f6b2f93d8ed1efedc752acfd4bdbcec3e,Etherium,22/06/2021 01:01:58,20.00 million,1064,2706,N/A,Common,0.00593,"118,588",20.38,20.00 million,SouthXchange,https://coinranking.com/coin/vayby3hdG8H2u+egold-egold
3584,Silverway,0x4c1c4957d22d8f373aed54d0853b090666f6f9de,https://etherscan.io/token/0x4c1c4957d22d8f373aed54d0853b090666f6f9de,Etherium,22/06/2021 01:02:08,1.00 billion,40209 (0.00%),43128,N/A,Common,0.000112,"112,496","1,094","1,000.00 million",Binance DEX,https://coinranking.com/coin/zMhahkiMFGVo+silverway-slv
3585,TokenStars TEAM,,,,22/06/2021 01:02:12,17.82 million,,,N/A,Common,0.00625,"111,338",0,17.82 million,,https://coinranking.com/coin/nDsIrPwXWiQb+tokenstarsteam-team
3586,Asian Dragon,,,,22/06/2021 01:02:16,500.00 million,,,N/A,Common,0.000217,"108,370",29.12,500.00 million,EtherFlyer,https://coinranking.com/coin/mKpBak47ProD+asiandragon-ad
3587,Earthchain,,,,22/06/2021 01:02:19,100.00 million,,,N/A,Common,0.001060,"106,010",79.53,100.00 million,PancakeSwap,https://coinranking.com/coin/ZkyuguorL+earthchain-earth
3588,WEBN,,,,22/06/2021 01:02:21,6.00 billion,,,N/A,Common,0.0000140,"83,776",37.68,6.00 billion,"SatoExchange,Hotbit",https://coinranking.com/coin/NO0d2qcCSSnB+webn-webn
3589,CoinLion,,,,22/06/2021 01:02:23,260.47 million,,,N/A,Common,0.000504,"80,473","125,999",159.70 million,"Gate.io,Uniswap v2,BiKi,Bitcratic",https://coinranking.com/coin/sot4vgRyjNXek+coinlion-lion
3590,Zenarit,,,,22/06/2021 01:02:29,100.00 million,,,N/A,Common,0.5675,"75,379",0,"132,838.23",,https://coinranking.com/coin/nKWwP1iR+zenarit-zert
3591,Safedoge,,,,22/06/2021 01:02:31,1.00 quadrillion,,,N/A,Common,0.000000000,"72,276",66.59,1.00 quadrillion,PancakeSwap,https://coinranking.com/coin/PhXoLEf3J+safedoge-safedoge
3592,Switch,0xd6a55c63865affd67e2fb9f284f87b7a9e5ff3bd,https://etherscan.io/token/0xd6a55c63865affd67e2fb9f284f87b7a9e5ff3bd,Etherium,22/06/2021 01:02:43,13.56 million,4895 (0.00%),72120,N/A,Common,0.00583,"70,574",113.17,12.11 million,"ProBit,Hotbit,CREX24,STEX",https://coinranking.com/coin/gLG_hObTi+switch-esh
3593,Nydronia,0xdB11F6Fc8E16c02719e9c2Eb3c4C762feE8F5C5b,https://etherscan.io/token/0xdB11F6Fc8E16c02719e9c2Eb3c4C762feE8F5C5b,Etherium,22/06/2021 01:02:53,100.00 million,323,1521,N/A,Common,0.000584,"58,357",0.3934,100.00 million,LATOKEN,https://coinranking.com/coin/AFQuhdjlI+nydronia-nia
3594,Binanace Chain AKITA,,,,22/06/2021 01:02:55,131.51 trillion,,,N/A,Common,0.000000000,"57,215",26.74,131.51 trillion,PancakeSwap,https://coinranking.com/coin/Uvp9DHAVP+binanacechainakita-bakita
3595,EVERYONE,,,,22/06/2021 01:02:56,250.00 billion,,,N/A,Common,0.000000229,"57,164",0,250.00 billion,,https://coinranking.com/coin/bMZp66Nud+everyone-every
3596,Apple Network,,,,22/06/2021 01:02:58,1.00 billion,,,N/A,Common,0.000057,"56,653",241.49,999.95 million,Bancor,https://coinranking.com/coin/tGvCWqpVH+applenetwork-ank
3597,999 token,,,,22/06/2021 01:03:00,"1,000.00 million",,,N/A,Common,0.000056,"55,580",0,"1,000.00 million",,https://coinranking.com/coin/Iua-QpuV+999token-999
3598,Offy Delivered Ltd,,,,22/06/2021 01:03:03,"100,000.00",,,N/A,Common,0.5439,"54,388",0,"100,000.00",,https://coinranking.com/coin/wP-dbZuu3+offydeliveredltd-offy
3599,Scooby,0xf0ab4b8daa51f6abf6b4c9fef0cca5d127029aa9,https://bscscan.com/token/0xf0ab4b8daa51f6abf6b4c9fef0cca5d127029aa9,Binance,22/06/2021 01:03:13,1.00 quadrillion,3822,24190,N/A,Common,0.000000000,"53,202",15.15,1.00 quadrillion,PancakeSwap,https://coinranking.com/coin/qqeyy4UDi+scooby-sbd
3600,ARMTOKEN,0xcDd0A6B15B49A9eb3Ce011CCE22FAc2ccf09ecE6,https://etherscan.io/token/0xcDd0A6B15B49A9eb3Ce011CCE22FAc2ccf09ecE6,Etherium,22/06/2021 01:03:24,330.00 million,110,1299,N/A,Common,0.00823,"51,466",0,6.26 million,,https://coinranking.com/coin/_t3VAbPjn+armtoken-tarm
3601,Webcoin,0xf344490abd414dafa97f34c8ca501b0aa5bf8873,https://etherscan.io/token/0xf344490abd414dafa97f34c8ca501b0aa5bf8873,Etherium,22/06/2021 01:03:34,70.00 million,123,270,N/A,Common,0.001123,"50,433",24.94,44.89 million,"BitMart,Hotbit,EtherFlyer",https://coinranking.com/coin/1Bog-4cF9VXKW+webcoin-web
3602,Fitcoin,,,,22/06/2021 01:03:36,50.00 million,,,N/A,Common,0.000989,"49,431","596,500",50.00 million,"Bithumb,Bittrex",https://coinranking.com/coin/LFa7ry4FgUHR0+fitcoin-fit
3603,Titanium Blockchain,,,,22/06/2021 01:03:37,60.00 million,,,N/A,Common,0.000775,"46,506",0,60.00 million,,https://coinranking.com/coin/Rxc-B0tHm5vyh+titaniumblockchain-bar
3604,ABOTrex,,,,22/06/2021 01:03:39,500.00 million,,,N/A,Common,0.000089,"44,578",4.61,500.00 million,Waves.Exchange,https://coinranking.com/coin/-dikTcAA+abotrex-abot
3605,EduCoin,,,,22/06/2021 01:03:41,362.98 million,,,N/A,Common,0.000117,"42,522","41,305",362.98 million,Huobi Global,https://coinranking.com/coin/YERuyH_h6PmK-+educoin-edu
3606,Milktea Finance,,,,22/06/2021 01:03:42,47.11 million,,,N/A,Common,0.000899,"42,337",417.88,47.11 million,Hotbit,https://coinranking.com/coin/DHLJpvfF3-+milkteafinance-mtf
3607,ARBITRAGE,0xafbec4d65bc7b116d85107fd05d912491029bf46,https://etherscan.io/token/0xafbec4d65bc7b116d85107fd05d912491029bf46,Etherium,22/06/2021 01:03:53,8.91 million,1974 (0.00%),52010,N/A,Common,0.00376,"33,260",0.3782,8.85 million,EtherFlyer,https://coinranking.com/coin/nFiB4Bu8kkA1W+arbitrage-arb
3608,ETHplode,0xe0c6ce3e73029f201e5c0bedb97f67572a93711c,https://etherscan.io/token/0xe0c6ce3e73029f201e5c0bedb97f67572a93711c,Etherium,22/06/2021 01:04:03,98.64 million,43010 (0.00%),83749,N/A,Common,0.000659,"32,888",17.56,49.87 million,MERCATOX,https://coinranking.com/coin/z2kPkOngHG5m+ethplode-ethplo
3609,RIT2021,,,,22/06/2021 01:04:05,21.00 million,,,N/A,Common,0.00191,"31,709",0,16.64 million,,https://coinranking.com/coin/I-p-gnqzG+rit2021-rit2021
3610,Waveslease Token,,,,22/06/2021 01:04:06,"133,758.82",,,N/A,Common,0.2333,"31,212",0,"133,758.82",,https://coinranking.com/coin/EQIBffX11+wavesleasetoken-wlt
3611,Papercoin,,,,22/06/2021 01:04:08,103.68 million,,,N/A,Common,0.000407,"29,576",0.2187,72.75 million,Waves.Exchange,https://coinranking.com/coin/fbv7EHbGEO3P+papercoin-paper
3612,FUZE Token,,,,22/06/2021 01:04:09,761.02,,,N/A,Common,34.02,"25,565","41,058",751.52,"MERCATOX,Bitcratic",https://coinranking.com/coin/nNhpa0Yv7+fuzetoken-fuze
3613,Berkah Token,,,,22/06/2021 01:04:11,"99,999.00",,,N/A,Common,0.2332,"23,320",0,"99,999.00",,https://coinranking.com/coin/1lBSwieBk+berkahtoken-berkah
3614,Proton Project,,,,22/06/2021 01:04:12,7.00 million,,,N/A,Common,0.1001,"22,022",268.30,"220,000.00",VinDAX,https://coinranking.com/coin/DWN2iniXc+protonproject-prtn
3615,TORcorp,,,,22/06/2021 01:04:14,9.74 billion,,,N/A,Common,0.0000020,"19,648",512.34,9.74 billion,"Waves.Exchange,SatoExchange",https://coinranking.com/coin/pC4uwccQ+torcorp-torr
3616,Bitcoin Flash Cash,,,,22/06/2021 01:04:15,21.00 million,,,N/A,Common,0.000982,"20,618",59.28,21.00 million,"Waves.Exchange,Bololex,SatoExchange",https://coinranking.com/coin/zPU2TPV0-+bitcoinflashcash-btfc
3617,AGUARD,,,,22/06/2021 01:04:16,30.50 million,,,N/A,Common,0.00142,"18,643",0.5459,13.10 million,Waves.Exchange,https://coinranking.com/coin/h_UmWa7z+aguard-agrd
3618,Rich Lab Token,,,,22/06/2021 01:04:18,665.00 million,,,N/A,Common,0.0000268,"17,833",155.98,665.00 million,PoloniDEX,https://coinranking.com/coin/hr-ykn_tlS+richlabtoken-rle
3619,DryCakeSwap,,,,22/06/2021 01:04:19,50.00 million,,,N/A,Common,0.000320,"16,002",652.64,50.00 million,"Hotbit,LATOKEN,BKEX",https://coinranking.com/coin/4Bx2JkcfI+drycakeswap-drycake
3620,GoldGate,,,,22/06/2021 01:04:21,26.00 million,,,N/A,Common,0.000596,"15,504","55,078",26.00 million,Bgogo,https://coinranking.com/coin/P-71eoGEi8xsF+goldgate-bgg
3621,ZOLAN,,,,22/06/2021 01:04:22,80.00 million,,,N/A,Common,0.000185,"14,808",246.82,80.00 million,"VinDAX,SatoExchange",https://coinranking.com/coin/L4iOqeOSZ+zolan-zol
3622,Lotto9,0x33Afa6514ad44594B1886859165B9AA641bDaBA9,https://etherscan.io/token/0x33Afa6514ad44594B1886859165B9AA641bDaBA9,Etherium,22/06/2021 01:04:32,"999,999.00",69,244,N/A,Common,0.01411,"14,109","34,023","999,999.00",ABIT,https://coinranking.com/coin/mXRJijlu2L+lotto9-l9
3623,Wide Energy,,,,22/06/2021 01:04:34,75.00 million,,,N/A,Common,0.1246,"12,370",6.59,"99,306.00",MERCATOX,https://coinranking.com/coin/zhUy1vTtsIQ1+wideenergy-wide
3624,Magnet,,,,22/06/2021 01:04:35,144.00 million,,,N/A,Common,0.000329,"12,119",0.2528,36.86 million,PayRue,https://coinranking.com/coin/LCSNig79QaR4m+magnet-mag
3625,J-Fenix,,,,22/06/2021 01:04:37,49.38 million,,,N/A,Common,0.00923,"9,590",22.35,1.04 million,Waves.Exchange,https://coinranking.com/coin/EMrmg_qJr+j-fenix-jfx
3626,Pyramid,0xe93f8111feb6fe3f1ec5c7e33a22654583fe32cf,https://bscscan.com/token/0xe93f8111feb6fe3f1ec5c7e33a22654583fe32cf,Binance,22/06/2021 01:04:47,"221,746.00",52,506,N/A,Common,0.0409,"9,076","589,270","221,746.00",Uniswap v2,https://coinranking.com/coin/_x5fWuO6-+pyramid-prm
3627,FOX coin,,,,22/06/2021 01:04:49,90.00 million,,,N/A,Common,0.000318,"8,307",168.22,26.11 million,LATOKEN,https://coinranking.com/coin/OHnn-2WI6+foxcoin-fox
3628,Bitcoin Solar,,,,22/06/2021 01:04:50,210.00 million,,,N/A,Common,0.0000330,"6,925",0.00330,210.00 million,SouthXchange,https://coinranking.com/coin/7yEKMFpcA+bitcoinsolar-btcs
3629,Lithereum,,,,22/06/2021 01:04:52,5.00 million,,,N/A,Common,0.00171,"6,878",0.00399,4.03 million,Bololex,https://coinranking.com/coin/5qoEGw5Kv+lithereum-lth
3630,JOOPS,,,,22/06/2021 01:04:53,200.00 million,,,N/A,Common,0.0000330,"6,593",13.94,200.00 million,"Waves.Exchange,CREX24",https://coinranking.com/coin/DexPgxhWTxd_+joops-joops
3631,Umbrella Coin,,,,22/06/2021 01:04:55,100.00 million,,,N/A,Common,0.000330,"5,917",0.3290,17.95 million,CREX24,https://coinranking.com/coin/HE7Rvbm2DxHEy+umbrellacoin-umc
3632,Xandereum,,,,22/06/2021 01:04:56,500.00 million,,,N/A,Common,0.0000116,"5,788",0.02862,500.00 million,Waves.Exchange,https://coinranking.com/coin/YHMWbdEZdQ7p+xandereum-xdr
3633,Ice Rock Mining,,,,22/06/2021 01:04:57,"524,762.00",,,N/A,Common,0.00980,"5,143","51,954","524,762.00",Hotbit,https://coinranking.com/coin/EqGvCLARwGabQ+icerockmining-rock2
3634,Token CashPay,,,,22/06/2021 01:04:59,1.00 million,,,N/A,Common,0.00506,"4,994","33,932","987,524.88","Uniswap v2,CREX24,BitUBU,EtherFlyer",https://coinranking.com/coin/D-OkZYrQR+tokencashpay-tcp
3635,Beyondcoin,,,,22/06/2021 01:05:00,3.90 million,,,N/A,Common,0.000989,"3,855",66.63,3.90 million,Unnamed.Exchange,https://coinranking.com/coin/o-uwXccM+beyondcoin-bynd
3636,CCCoin,,,,22/06/2021 01:05:02,175.00 million,,,N/A,Common,0.0000199,"3,482",7.27,175.00 million,PayRue,https://coinranking.com/coin/t60aLoIOGmUwU+cccoin-ccc
3637,Goldmillion Coin,,,,22/06/2021 01:05:04,11.11 billion,,,N/A,Common,0.000000285,"3,161",0.7842,11.11 billion,Waves.Exchange,https://coinranking.com/coin/Bwu1V3pGH+goldmillioncoin-gmc
3638,BLAC,,,,22/06/2021 01:05:05,10.65 million,,,N/A,Common,0.000291,"2,989",0.2842,10.27 million,PayRue,https://coinranking.com/coin/fa8bYlJDS47D+blac-blac
3639,Crespo,0x5ecb025e51415dba9fd272c551076357cf4069f5,https://etherscan.io/token/0x5ecb025e51415dba9fd272c551076357cf4069f5,Etherium,22/06/2021 01:05:16,100.00 million,79,486,N/A,Common,0.0000213,"2,127",0.2155,100.00 million,SouthXchange,https://coinranking.com/coin/DaQPog-G24gp+crespo-cso
3640,Flit Token,,,,22/06/2021 01:05:17,15.00 billion,,,N/A,Common,0.000000141,"2,116",0,15.00 billion,,https://coinranking.com/coin/mAlmp6UJ+flittoken-flt
3641,HeavyLitecoin,,,,22/06/2021 01:05:19,100.00 million,,,N/A,Common,0.0000194,"1,941",0,100.00 million,,https://coinranking.com/coin/8iBuUszJH_ki+heavylitecoin-hltc
3642,Ethereum Meta,,,,22/06/2021 01:05:20,96.57 million,,,N/A,Common,0.0000196,"1,895",79.71,96.57 million,"STEX,CREX24",https://coinranking.com/coin/76vRznXNxNNpj+ethereummeta-ethm
3643,WeShow Token,,,,22/06/2021 01:05:22,21.00 million,,,N/A,Common,0.000077,"1,614",15.63,21.00 million,ProBit,https://coinranking.com/coin/aQt12hzFI3Wab+weshowtoken-wet
3644,EGYPT,0xa8f74d0ddfa590ba7e0794e9742846eb52f2acac,https://etherscan.io/token/0xa8f74d0ddfa590ba7e0794e9742846eb52f2acac,Etherium,22/06/2021 01:05:32,1.00 billion,129,249,N/A,Common,0.0000202,"1,261",52.42,62.39 million,EtherFlyer,https://coinranking.com/coin/GG2PyoVSRNTF+egypt-egy
3645,Year Finance Gym,,,,22/06/2021 01:05:33,"50,000.00",,,N/A,Common,0.2308,"1,149",0.1194,"4,979.55",SouthXchange,https://coinranking.com/coin/y6vz8UZyd+yearfinancegym-ygym
3646,Waves Africa Reward Token,,,,22/06/2021 01:05:34,10.00 million,,,N/A,Common,0.000332,"1,106",16.36,3.33 million,Waves.Exchange,https://coinranking.com/coin/yXJWJxIcW+wavesafricarewardtoken-wart
3647,Midiex,,,,22/06/2021 01:05:36,500.00 million,,,N/A,Common,0.0000481,"1,008",1.68,20.94 million,MERCATOX,https://coinranking.com/coin/lviNIbma2Xuqs+midiex-mdx
3648,Piathcoin,,,,22/06/2021 01:05:38,795.65 million,,,N/A,Common,0.00000124,984.85,0.02434,795.65 million,Waves.Exchange,https://coinranking.com/coin/ELnkpquzc+piathcoin-piath
3649,ThaneCoin,,,,22/06/2021 01:05:39,91.00 million,,,N/A,Common,0.0000083,755.18,0,91.00 million,,https://coinranking.com/coin/aTUb-3Q5M4ee+thanecoin-tpi
3650,TAZ,,,,22/06/2021 01:05:40,21.00 million,,,N/A,Common,0.0000353,741.86,0,21.00 million,,https://coinranking.com/coin/seEAoNFgW+taz-taz
3651,IRONCOIN,,,,22/06/2021 01:05:42,3.00 billion,,,N/A,Common,0.000000196,589.15,0.001131,3.00 billion,EtherFlyer,https://coinranking.com/coin/gTk_GYEjHoJ5f+ironcoin-irc
3652,MobiePay,0x71ba91dc68c6a206db0a6a92b4b1de3f9271432d,https://etherscan.io/token/0x71ba91dc68c6a206db0a6a92b4b1de3f9271432d,Etherium,22/06/2021 01:05:52,1.00 million,3246 (0.00%),9621,N/A,Common,0.00701,535.87,"601,653","76,403.81",Bithumb Global,https://coinranking.com/coin/XcopfUusP+mobiepay-mbx
3653,TroneX,,,,22/06/2021 01:05:53,5.00 million,,,N/A,Common,0.000107,534.45,0,5.00 million,,https://coinranking.com/coin/NtaoJqo1c+tronex-tnx
3654,Coders,,,,22/06/2021 01:05:55,2.00 million,,,N/A,Common,0.000272,352.88,0.2611,1.30 million,Waves.Exchange,https://coinranking.com/coin/6YCez50on+coders-coders
3655,Boldman Capital,,,,22/06/2021 01:05:56,7.78 million,,,N/A,Common,0.0000333,259.29,"4,959",7.78 million,Hotbit,https://coinranking.com/coin/EtElyvXl5UBMK+boldmancapital-bold
3656,Hubcoin,,,,22/06/2021 01:05:58,"107,336.00",,,N/A,Common,0.00194,208.72,816.53,"107,336.00","Bitcoin.com,HitBTC",https://coinranking.com/coin/-IYwZu4STT4YO+hubcoin-hub
3657,Neux,,,,22/06/2021 01:05:59,10.00 million,,,N/A,Common,0.001280,118.41,0,"92,535.52",,https://coinranking.com/coin/S7M1ww2fu+neux-neux
3658,BitConnect,,,,22/06/2021 01:06:01,21.00 million,,,N/A,Common,0.0000057,115.40,0,20.15 million,,https://coinranking.com/coin/yDaCLN1Y2kPKy+bitconnect-bcc
3659,Daibase xDAI,,,,22/06/2021 01:06:02,45.99,,,N/A,Common,1.34,61.46,1.90,45.99,Honeyswap,https://coinranking.com/coin/D7SmLjlnh+daibasexdai-daix
3660,YCJ TRON NETWORK,,,,22/06/2021 01:06:04,"5,000.00",,,N/A,Common,0.00529,26.46,0,"5,000.00",,https://coinranking.com/coin/BArxFHLDR+ycjtronnetwork-ytron
3661,EplayGold,,,,22/06/2021 01:06:05,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/FbyiRd2mZI0F+eplaygold-eplayg
3662,NextON,,,,22/06/2021 01:06:07,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/6hxkjjNgPB_v+nexton-nxton
3663,Lite Gold,,,,22/06/2021 01:06:08,0,,,N/A,Common,0.000000569,0,0.2091,0,MERCATOX,https://coinranking.com/coin/XEmGtnrrrRId+litegold-ltg
3664,STACS,0x9d7630adf7ab0b0cb00af747db76864df0ec82e4,https://etherscan.io/token/0x9d7630adf7ab0b0cb00af747db76864df0ec82e4,Etherium,22/06/2021 01:06:18,0,11380 ( 0.009%),11664,N/A,Common,0,0,0,0,,https://coinranking.com/coin/GthmNge600UN+stacs-stacs
3665,Arena,,,,22/06/2021 01:06:20,0,,,N/A,Common,0.00752,0,0,0,,https://coinranking.com/coin/56EuLCbq_WAQ+arena-arna
3666,Akula,,,,22/06/2021 01:06:21,0,,,N/A,Common,0,0,0,0,,https://coinranking.com/coin/hcgwW9XEOidv+akula-akl
3667,XPAND,,,,22/06/2021 01:06:22,2.60 million,,,N/A,Common,0,0,0,3.23,,https://coinranking.com/coin/XidMVWN0c5bG+xpand-xpand
3668,UBEAR,,,,22/06/2021 01:06:24,100.00 million,,,N/A,Common,0,0,0,100.00 million,,https://coinranking.com/coin/8LAIht5_NbXk+ubear-ubear
